"nameWithOwner","createdAt","stargazers","watchers","forks"
"ilius/pyglossary","2011-01-23T10:24:30Z","{""totalCount"":1109}","{""totalCount"":57}","{""totalCount"":147}"
"NxRLab/ModernRobotics","2016-10-04T14:24:08Z","{""totalCount"":634}","{""totalCount"":58}","{""totalCount"":380}"
"K3D-tools/K3D-jupyter","2015-10-16T10:14:20Z","{""totalCount"":336}","{""totalCount"":19}","{""totalCount"":59}"
"nedwill/soundhax","2016-12-28T14:43:17Z","{""totalCount"":290}","{""totalCount"":44}","{""totalCount"":42}"
"molyswu/hand_detection","2018-11-29T01:35:59Z","{""totalCount"":107}","{""totalCount"":13}","{""totalCount"":52}"
"bosichong/PrimarySchoolMathematics","2018-10-23T14:05:25Z","{""totalCount"":64}","{""totalCount"":6}","{""totalCount"":30}"
"larsyencken/wide-language-index","2014-05-12T07:53:22Z","{""totalCount"":51}","{""totalCount"":8}","{""totalCount"":10}"
"localwiki/localwiki-backend-server","2015-01-26T07:32:11Z","{""totalCount"":47}","{""totalCount"":16}","{""totalCount"":16}"
"jbrendel/django-randomprimary","2012-04-18T00:49:01Z","{""totalCount"":38}","{""totalCount"":3}","{""totalCount"":9}"
"HPENetworking/pyhpecw7","2016-04-09T13:28:02Z","{""totalCount"":32}","{""totalCount"":13}","{""totalCount"":20}"
"hoelsner/product-database","2015-10-06T17:44:50Z","{""totalCount"":29}","{""totalCount"":10}","{""totalCount"":17}"
"dcramer/django-compositepks","2008-11-16T23:34:10Z","{""totalCount"":28}","{""totalCount"":3}","{""totalCount"":385}"
"wnyc/django-crowdsourcing","2012-12-03T21:03:41Z","{""totalCount"":25}","{""totalCount"":22}","{""totalCount"":18}"
"Rongpeng-Lin/PConv_in_tf","2018-08-03T14:01:41Z","{""totalCount"":24}","{""totalCount"":6}","{""totalCount"":5}"
"ospaf/ospaf-primary","2014-09-04T06:49:47Z","{""totalCount"":21}","{""totalCount"":8}","{""totalCount"":12}"
"notsambeck/pandabase","2019-02-04T08:33:29Z","{""totalCount"":21}","{""totalCount"":5}","{""totalCount"":4}"
"LRTT/LINEREGISTER","2020-03-30T13:00:16Z","{""totalCount"":19}","{""totalCount"":1}","{""totalCount"":9}"
"Rongpeng-Lin/pix2pixhd_Tensorflow","2018-10-21T08:10:00Z","{""totalCount"":17}","{""totalCount"":4}","{""totalCount"":9}"
"MrNbaYoh/rpwng","2017-08-19T14:30:23Z","{""totalCount"":17}","{""totalCount"":2}","{""totalCount"":0}"
"avito-tech/pg_reindex","2018-03-29T10:19:24Z","{""totalCount"":17}","{""totalCount"":7}","{""totalCount"":2}"
"metapub/metapub","2019-08-20T19:39:00Z","{""totalCount"":14}","{""totalCount"":2}","{""totalCount"":6}"
"engineer1109/TensorFlow-R-FCN-for-primary-students","2017-12-23T09:05:08Z","{""totalCount"":13}","{""totalCount"":2}","{""totalCount"":2}"
"mstump/cassandra_range_repair","2013-08-20T05:24:31Z","{""totalCount"":12}","{""totalCount"":0}","{""totalCount"":7}"
"PennyHow/PyTrx","2017-05-17T08:01:03Z","{""totalCount"":12}","{""totalCount"":3}","{""totalCount"":9}"
"ajxchapman/CmdRunner","2019-05-31T19:35:11Z","{""totalCount"":12}","{""totalCount"":2}","{""totalCount"":2}"
"lunduniversity/schoolprog","2017-11-02T10:26:29Z","{""totalCount"":11}","{""totalCount"":7}","{""totalCount"":4}"
"eightysteele/Spatial-Data-Library","2011-01-27T01:56:35Z","{""totalCount"":11}","{""totalCount"":3}","{""totalCount"":1}"
"mahmoodlab/TOAD","2020-06-19T07:22:44Z","{""totalCount"":10}","{""totalCount"":2}","{""totalCount"":1}"
"seberg/icsbot","2009-03-10T13:39:15Z","{""totalCount"":10}","{""totalCount"":4}","{""totalCount"":1}"
"tsunaminoai/baseEmoji","2017-03-05T02:39:02Z","{""totalCount"":10}","{""totalCount"":2}","{""totalCount"":1}"
"IN-CORE/pyincore","2019-12-19T21:02:40Z","{""totalCount"":10}","{""totalCount"":7}","{""totalCount"":2}"
"GroupAYECS765P/BDP-05-Large-scale-Clustering","2017-12-06T12:57:04Z","{""totalCount"":10}","{""totalCount"":2}","{""totalCount"":0}"
"lyzMaster/deepgta5","2018-04-26T15:43:39Z","{""totalCount"":9}","{""totalCount"":1}","{""totalCount"":1}"
"jsayles/CoworkingDB","2010-09-02T18:36:43Z","{""totalCount"":9}","{""totalCount"":1}","{""totalCount"":1}"
"AFRL-RY/Explore-Coarse-3D-Reconstruction-Path-Planning-ATRC-Summer-2017","2017-10-03T12:01:04Z","{""totalCount"":9}","{""totalCount"":2}","{""totalCount"":1}"
"asharma353/Anomaly-Detection-by-Netflow-and-DNS-Analysis-of-Alexa-1M-websites","2016-09-06T22:30:41Z","{""totalCount"":9}","{""totalCount"":3}","{""totalCount"":12}"
"CSB5/shotgun-metagenomics-pipeline","2015-11-09T10:42:49Z","{""totalCount"":9}","{""totalCount"":6}","{""totalCount"":3}"
"stadtgestalten/stadtgestalten","2016-07-21T02:28:55Z","{""totalCount"":8}","{""totalCount"":3}","{""totalCount"":4}"
"thousandparsec/tpclient-pywx","2010-04-17T14:58:01Z","{""totalCount"":8}","{""totalCount"":0}","{""totalCount"":6}"
"taylorludwig/Resolutions-Alfred","2013-07-24T23:54:13Z","{""totalCount"":8}","{""totalCount"":1}","{""totalCount"":0}"
"abhijithasokan/Cusat-BTech-Result-Scraper","2017-01-12T14:48:21Z","{""totalCount"":8}","{""totalCount"":1}","{""totalCount"":1}"
"sandeep-krishnamurthy/MovieSuccessPrediction","2013-11-01T08:20:41Z","{""totalCount"":8}","{""totalCount"":5}","{""totalCount"":7}"
"rrmerugu/django-postgres-elasticsearch","2018-03-04T04:08:04Z","{""totalCount"":7}","{""totalCount"":1}","{""totalCount"":6}"
"netscaler/neutron","2013-09-27T16:48:24Z","{""totalCount"":7}","{""totalCount"":3}","{""totalCount"":1}"
"pablomc88/Primate_Visual_System","2017-06-08T09:30:08Z","{""totalCount"":7}","{""totalCount"":3}","{""totalCount"":0}"
"rahulthawal/Finding-Object-by-Robotic-Arm","2016-07-23T19:08:42Z","{""totalCount"":7}","{""totalCount"":3}","{""totalCount"":2}"
"jonasnick/ReceptiveFields","2013-02-12T00:11:06Z","{""totalCount"":6}","{""totalCount"":2}","{""totalCount"":9}"
"vaibhavmule/django-uuid-primary-key","2017-10-23T07:40:48Z","{""totalCount"":6}","{""totalCount"":1}","{""totalCount"":2}"
"bolstycjw/odoo-s3-storage","2017-02-02T02:01:44Z","{""totalCount"":6}","{""totalCount"":4}","{""totalCount"":10}"
"tvanesse/odoo-s3","2016-08-10T12:32:59Z","{""totalCount"":6}","{""totalCount"":0}","{""totalCount"":8}"
"YanZiBuGuiCHunShiWan/Primary_machinelearning","2020-05-09T09:00:33Z","{""totalCount"":6}","{""totalCount"":1}","{""totalCount"":1}"
"gunnbr/gthx","2015-12-28T21:28:24Z","{""totalCount"":6}","{""totalCount"":2}","{""totalCount"":4}"
"NexoDevelopment/MK8_Exploit","2020-01-18T18:26:36Z","{""totalCount"":6}","{""totalCount"":2}","{""totalCount"":0}"
"dandelany/tweetalyze","2012-04-28T22:23:23Z","{""totalCount"":6}","{""totalCount"":3}","{""totalCount"":1}"
"sensviz7/Reinforcement-Learning-via-DQN-Agent-Carla","2020-08-13T19:54:27Z","{""totalCount"":6}","{""totalCount"":5}","{""totalCount"":0}"
"samueljackson92/twitter-data-miner","2012-12-18T12:09:59Z","{""totalCount"":6}","{""totalCount"":0}","{""totalCount"":2}"
"usnistgov/MUD-PD","2019-07-16T19:31:21Z","{""totalCount"":6}","{""totalCount"":1}","{""totalCount"":2}"
"iuscommunity/repodataParser","2012-11-28T17:16:39Z","{""totalCount"":5}","{""totalCount"":3}","{""totalCount"":5}"
"ratt-ru/eidos","2017-11-14T14:17:07Z","{""totalCount"":5}","{""totalCount"":8}","{""totalCount"":2}"
"usaa/vogel","2018-12-03T18:14:20Z","{""totalCount"":5}","{""totalCount"":2}","{""totalCount"":4}"
"martinohanlon/SpaceCRAFT","2015-05-14T12:26:34Z","{""totalCount"":5}","{""totalCount"":1}","{""totalCount"":2}"
"YodaEmbedding/language-detector","2017-11-02T22:19:47Z","{""totalCount"":5}","{""totalCount"":1}","{""totalCount"":2}"
"dodoyuan/CongestionControlInSDN","2018-03-12T03:01:51Z","{""totalCount"":5}","{""totalCount"":0}","{""totalCount"":4}"
"RigidBit/www2png","2020-01-10T06:35:08Z","{""totalCount"":5}","{""totalCount"":1}","{""totalCount"":1}"
"saxix/django-uuid-pk","2013-08-11T11:35:35Z","{""totalCount"":5}","{""totalCount"":1}","{""totalCount"":1}"
"joedeller/pymine","2015-01-17T14:44:55Z","{""totalCount"":5}","{""totalCount"":2}","{""totalCount"":0}"
"VertNet/api-geospatial","2015-11-19T10:17:29Z","{""totalCount"":5}","{""totalCount"":5}","{""totalCount"":1}"
"manexagirrezabal/athenarhythm","2015-03-14T19:36:16Z","{""totalCount"":5}","{""totalCount"":1}","{""totalCount"":1}"
"PrudhviRaj12/In-Depth-Question-Classification-Using-Convolutional-Neural-Networks","2017-05-13T02:33:06Z","{""totalCount"":5}","{""totalCount"":2}","{""totalCount"":5}"
"madan-ram/Artificial-Neural-Network","2015-04-21T07:39:00Z","{""totalCount"":5}","{""totalCount"":3}","{""totalCount"":1}"
"RawVendetta/GatewayFinder","2019-09-30T17:14:09Z","{""totalCount"":5}","{""totalCount"":1}","{""totalCount"":0}"
"Cadair/PriMaRY-JOVE","2012-03-12T23:17:08Z","{""totalCount"":4}","{""totalCount"":4}","{""totalCount"":0}"
"miaojie19/flask-course-primary","2019-05-14T02:35:30Z","{""totalCount"":4}","{""totalCount"":0}","{""totalCount"":1}"
"kronosapiens/twitter-research","2016-01-24T21:08:29Z","{""totalCount"":4}","{""totalCount"":1}","{""totalCount"":3}"
"jnpkrn/clufter","2014-09-12T07:25:25Z","{""totalCount"":4}","{""totalCount"":3}","{""totalCount"":2}"
"alex/pyelection","2008-02-24T20:45:10Z","{""totalCount"":4}","{""totalCount"":3}","{""totalCount"":2}"
"ml-lab/image_inpainting","2018-09-10T08:44:11Z","{""totalCount"":4}","{""totalCount"":2}","{""totalCount"":3}"
"sdll/QQP","2017-06-07T00:34:03Z","{""totalCount"":4}","{""totalCount"":1}","{""totalCount"":0}"
"chriswernst/Perception-Udacity-RoboticsND-Project3","2017-10-13T21:41:11Z","{""totalCount"":4}","{""totalCount"":0}","{""totalCount"":3}"
"okfn/ckan-old","2011-02-12T12:50:58Z","{""totalCount"":4}","{""totalCount"":19}","{""totalCount"":0}"
"caitlyn4321/LootBot","2017-10-25T19:57:00Z","{""totalCount"":4}","{""totalCount"":1}","{""totalCount"":1}"
"HarrisonSteel/ChiBio","2019-08-07T12:30:35Z","{""totalCount"":3}","{""totalCount"":3}","{""totalCount"":6}"
"uwcirg/truenth-portal","2015-06-09T18:25:47Z","{""totalCount"":3}","{""totalCount"":10}","{""totalCount"":4}"
"letran3691/domain","2019-05-08T07:58:50Z","{""totalCount"":3}","{""totalCount"":5}","{""totalCount"":4}"
"datasets/primary-tumor","2018-01-04T13:40:53Z","{""totalCount"":3}","{""totalCount"":7}","{""totalCount"":1}"
"OpenSourceBrain/V1NetworkModels","2014-06-05T14:21:01Z","{""totalCount"":3}","{""totalCount"":8}","{""totalCount"":3}"
"gauravkulkarni96/django-ajax-auth","2018-03-23T19:46:53Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":3}"
"Ming-er/PythonGUI","2019-05-24T03:05:53Z","{""totalCount"":3}","{""totalCount"":0}","{""totalCount"":0}"
"chrsigg/tarpar","2013-11-21T20:46:40Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":0}"
"kids-first/kf-api-dataservice","2018-01-09T21:06:39Z","{""totalCount"":3}","{""totalCount"":10}","{""totalCount"":1}"
"raygervais/100-days-of-code-challenge","2018-04-30T00:28:54Z","{""totalCount"":3}","{""totalCount"":2}","{""totalCount"":0}"
"IBCNServices/HeadacheDSS","2018-01-08T10:20:16Z","{""totalCount"":3}","{""totalCount"":4}","{""totalCount"":4}"
"deweylab/cell-type-classification-paper","2019-04-18T20:10:37Z","{""totalCount"":3}","{""totalCount"":2}","{""totalCount"":0}"
"basnetbik/SocietyRecommenderSystem","2014-08-01T05:09:09Z","{""totalCount"":3}","{""totalCount"":2}","{""totalCount"":3}"
"khalavak/pan-demonium","2013-04-03T10:02:30Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":0}"
"ahojukka5/Dijkstra","2020-05-13T04:49:56Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":1}"
"pravincesingh/Home-automation-with-person-detection-using-deep-learning","2019-08-12T09:24:32Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":0}"
"DataforProgress/bias-in-news","2018-07-01T14:23:49Z","{""totalCount"":3}","{""totalCount"":2}","{""totalCount"":0}"
"SlashRoot/django-crowdsourcing","2012-08-15T16:04:47Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":1}"
"bonarl/Clohessy-Wiltshire","2018-03-11T15:10:08Z","{""totalCount"":3}","{""totalCount"":0}","{""totalCount"":1}"
